Gender,Height,Weight
Male,173.4748330901474,82.81130876677935
Female,161.45825350902751,73.50842799505486
Male,172.5181924746012,80.4033199955457
Male,179.4831474548101,98.592824517651
Female,150.3890454109659,62.62792884594135
Male,176.70206730258414,93.2885624735946
Female,158.3502340900093,59.30062496380171
Male,181.20634368732985,91.0060055207937
Female,165.79921627030345,75.62877037190145
Female,156.64728795513977,56.68295221534996
Female,170.89142345838485,74.7613849218885
Male,165.25481237350797,73.961983223451
Male,165.3113423468662,76.29080450248935
Male,168.81574755840663,80.4041964303714
Male,171.54983923331713,98.6677680000798
Male,161.3585216684552,77.2931330879274
Male,168.44433682471174,85.4437181211828
Female,150.39751333135317,52.45536942877545
Female,164.5634630006755,63.534267707702405
Male,175.11460327218634,96.77802097197046
Female,158.99025622781656,62.51822339542515
Female,157.57601451438558,65.64544074472275
Male,168.76121728559718,82.44684420445891
Male,169.87421664084025,86.1643843198497
Male,172.20504526957814,92.3171861441358
Male,172.31431000521042,85.4227406869407
Male,181.0468970463057,87.72685971113971
Male,177.17213987972588,91.62954344972744
Male,167.85144097129628,74.94883478995546
Female,163.26175605987473,69.55210652022585
Male,160.58494438027984,72.95757918503311
Female,167.3904860629221,70.15628669935501
Female,152.12037517542385,52.86516724704645
Female,153.09358960267906,53.4696719565096
Female,137.95249814010066,46.6952117788017
Male,179.67902506777742,93.7716926352462
Male,177.29411855962766,89.6444290985481
Male,184.0877527543354,101.4930355083633
Female,153.31147929284106,54.88257820308076
Female,149.8654676423363,52.1122658211306
Male,176.49752396310387,80.74943381093085
Female,155.75966257623074,55.095137705143806
Male,163.86346313142474,74.74836018528765
Male,163.72949339677325,81.41171693663925
Male,193.96467975189745,114.2500517288163
Female,154.66265782883016,51.74477635727475
Female,158.12237834683705,57.5727274465263
Male,165.60782361234166,82.37837612992095
Female,165.63347663100225,66.5090640268569
Female,162.8324485104289,61.73961897259125
Female,161.091212756975,62.3564975974797
Male,176.78956670237963,93.51762470735083
Female,160.52895066203578,64.65552323669326
Male,171.83581337363657,81.4274205120639
Male,150.85398314651098,55.20605028867495
Female,150.9780746895028,52.82502704042985
Female,159.7231487260917,65.69076482331975
Female,162.57565045567378,62.77332087771435
Female,172.63849248443475,77.4547227111609
Female,157.275192765139,61.12392960777256
Female,160.8693499463869,62.57237328540045
Female,170.7481723041571,78.1845451098201
Female,154.82294069132178,64.88976407068756
Male,180.1611490850157,89.59282712000146
Male,171.72920587102868,72.88692189899311
Male,178.55530236344077,96.25351028750056
Female,159.91929879343925,56.599115536729805
Female,155.5351434782068,46.28425465685925
Female,153.98423655630427,61.87146436852065
Male,174.50288372808845,87.08393471302081
Male,163.30602524661296,77.12399665980135
Male,185.19307304995985,111.98199269889
Female,156.22565476548772,59.24149444750455
Female,159.59137735740774,64.41859218059506
Male,162.37770419623894,65.69625712013776
Male,170.4228613434921,83.9858908484925
Male,170.2408289572048,88.32373972666831
Female,150.73012526300892,60.38717065129395
Male,158.28954019397537,74.00823165656236
Male,172.267198856268,84.01759181332335
Female,152.31749832109458,52.05505157646255
Female,152.65462332654116,58.699141101629095
Female,160.7205148481383,64.18683678484621
Male,171.8414326175685,81.9693626216544
Male,162.22369307470098,81.62208766890944
Male,173.19647418059438,86.6492802766476
Male,167.6814578260639,82.50449725905885
Male,172.77066167369952,84.74173636030606
Male,168.95060616333234,91.28974150485988
